agency,sku,date,volume,price_regular,price_actual,promotions,soda_volume,industry_volume,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,fifa_u_17_world_cup,football_gold_cup,beer_capital,music_fest,avg_max_temp,avg_population_2017,avg_yearly_household_income_2017,timeseries,discount_in_percent
Agency_22,SKU_01,2013-01-01,52.272,1168.903668,1069.166193,99.737475,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,48151,132110,0,8.532565833303554
Agency_22,SKU_02,2013-01-01,110.7,1167.0,1067.2575,99.7425,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,48151,132110,1,8.546915167095115
Agency_58,SKU_23,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1620969,105857,2,0.0
Agency_48,SKU_07,2013-01-01,28.32,1143.50339,1143.50339,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,3,0.0
Agency_22,SKU_05,2013-01-01,238.5387,1310.176057,1203.875711,106.300346,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,48151,132110,4,8.113439826049273
Agency_58,SKU_17,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1620969,105857,5,0.0
Agency_31,SKU_01,2013-01-01,126.36,1150.0,1121.542097,28.457903,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,28.67435897,181063,102731,6,2.474600260869565
Agency_48,SKU_02,2013-01-01,475.790396,1212.326419,1199.161654,13.164765,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,7,1.08590927275668
Agency_40,SKU_04,2013-01-01,1.1502,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.07901235,143299,137912,8,0.0
Agency_48,SKU_05,2013-01-01,1823.525772,1323.676644,1234.592021,89.084623,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1739969,210213,9,6.730089512707305
Agency_53,SKU_04,2013-01-01,2403.8541,1730.734055,1666.63685,64.097205,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1729177,111048,10,3.7034693351544417
Agency_20,SKU_04,2013-01-01,1642.4217,1740.68464,1591.968742,148.715898,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1825752,102317,11,8.543529056475158
Agency_31,SKU_02,2013-01-01,23.868,1102.188658,1082.072627,20.116031,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,28.67435897,181063,102731,12,1.825098711912167
Agency_31,SKU_05,2013-01-01,14.5053,1468.521127,1443.306239,25.214888,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,28.67435897,181063,102731,13,1.7170258933564526
Agency_49,SKU_23,2013-01-01,0.0,0.0,0.0,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,24.05289256,1880416,154532,14,0.0
Agency_41,SKU_01,2013-01-01,4324.104,1133.284019,1069.996793,63.287226,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1573238,125229,15,5.584409992461034
Agency_13,SKU_01,2013-01-01,6269.508,1205.013714,1123.530838,81.482876,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,16,6.7619874407504055
Agency_22,SKU_04,2013-01-01,31.0554,1742.112676,1598.414189,143.698487,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,25.8452381,48151,132110,17,8.248518536122518
Agency_13,SKU_07,2013-01-01,7.965,1139.335933,1139.335933,0.0,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1520066,110666,18,0.0
Agency_38,SKU_01,2013-01-01,7569.396,1166.489506,1117.044979,49.444527,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,19,4.238745976339714
Agency_41,SKU_02,2013-01-01,3471.768,1107.531873,1045.39289,62.138983,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1573238,125229,20,5.610581917763013
Agency_31,SKU_04,2013-01-01,1421.1999,1814.164741,1531.567322,282.597419,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,28.67435897,181063,102731,21,15.577274357356723
Agency_38,SKU_07,2013-01-01,65.9325,1102.088253,1097.002373,5.08588,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,22.21973684,1515841,173884,22,0.4614766545379375
Agency_41,SKU_05,2013-01-01,2866.2345,1260.007889,1189.759099,70.24879,718394219,492612703,0,0,1,0,0,0,0,0,0,0,0,0,23.89354839,1573238,125229,23,5.575265886291605
